GCF_018729255.1_ASM1872925v1_genomic	GCF_013347325.1_ASM1334732v1_genomic	GCF_018672515.1_ASM1867251v1_genomic	GCF_016894365.1_ASM1689436v1_genomic	GCF_020618415.1_ASM2061841v1_genomic	GCF_008271425.1_ASM827142v1_genomic	GCF_020149505.1_ASM2014950v1_genomic	GCF_008801925.2_ASM880192v2_genomic	GCF_000219215.1_ASM21921v1_genomic	GCF_016127575.1_ASM1612757v1_genomic	GCF_000196015.1_ASM19601v1_genomic	GCF_019931045.1_ASM1993104v1_genomic	GCF_001854285.1_ASM185428v1_genomic	GCF_001854325.1_ASM185432v1_genomic	GCF_008807855.1_ASM880785v1_genomic	GCF_002944765.1_ASM294476v1_genomic	GCF_002011925.2_ASM201192v2_genomic	GCF_001854305.1_ASM185430v1_genomic	GCF_003260185.2_ASM326018v2_genomic	GCF_008693385.1_ASM869338v1_genomic	GCF_016757775.1_ASM1675777v1_genomic	GCF_018223725.1_ASM1822372v1_genomic	GCF_016894385.1_ASM1689438v1_genomic	GCF_022406855.1_ASM2240685v1_genomic	GCF_004798725.1_ASM479872v1_genomic	GCF_009730455.1_ASM973045v1_genomic	GCF_003854935.1_ASM385493v1_genomic	GCF_001281465.1_ASM128146v1_genomic	GCF_000832305.1_ASM83230v1_genomic	GCF_004768545.1_ASM476854v1_genomic	GCF_019602855.1_ASM1960285v1_genomic	GCF_021474185.1_ASM2147418v1_genomic	GCF_000009285.1_ASM928v2_genomic
100.0	82.637085	84.693359	83.929398	83.869812	86.173889	84.74469	82.494827	83.6922	83.767548	85.390076	85.578766	82.352234	82.354027	83.710442	85.587906	83.849022	82.34639	85.330017	83.161469	83.737129	83.687019	83.996994	83.783745	83.728584	85.329453	88.93988	82.579247	82.659981	83.703438	82.929886	84.710785	83.758324
82.637085	100.0	81.822449	83.818878	84.63253	83.149445	81.781929	82.431992	83.60067	83.668167	82.060669	82.27784	82.962929	82.959824	84.168472	82.092331	83.486633	83.020996	82.017868	81.997009	83.499588	83.594437	83.74855	83.954681	83.692787	82.044502	83.103378	98.703415	82.253036	83.695572	82.481636	81.805054	83.72908
84.693359	81.822449	100.0	82.380951	82.657791	83.852936	97.548904	81.256134	82.543999	82.58493	97.542877	83.603943	81.553871	81.598755	82.407364	98.094742	82.57962	81.637054	99.734749	82.515656	82.526482	82.442589	82.345421	82.522629	82.565262	97.54631	84.625793	81.74823	81.229172	82.478668	82.275101	97.543777	82.571747
83.929398	83.818878	82.380951	100.0	88.923843	83.856812	82.441635	83.288559	88.572571	88.845093	82.456985	82.64698	83.893852	83.876678	98.903824	82.455841	88.357193	83.906944	82.506165	82.763573	88.580948	88.531677	99.998596	88.919548	88.777306	82.404327	84.333611	83.902298	83.381226	94.010849	84.608826	82.475586	88.787613
83.869812	84.63253	82.657791	88.923843	100.0	84.452637	82.576042	83.661522	90.021225	90.207771	82.603592	82.906265	83.998688	84.064316	89.162109	82.738419	90.15937	84.095337	82.718658	82.840347	89.969582	89.954346	88.949707	93.745331	90.165962	82.67614	84.422394	84.539566	83.483154	88.790215	84.645683	82.557449	90.196533
86.173889	83.149445	83.852936	83.856812	84.452637	100.0	83.881454	82.759018	83.779892	83.885139	84.370834	83.942223	82.574722	82.567818	84.207932	84.458466	83.941589	82.750603	84.58905	83.221329	83.792961	83.718994	83.864418	83.752609	83.884811	84.338211	86.766785	83.044678	82.671692	83.635208	82.659027	83.860329	83.885529
84.74469	81.781929	97.548904	82.441635	82.576042	83.881454	100.0	81.241257	82.507095	82.528488	99.078262	83.557426	81.614388	81.579361	82.449341	98.7882	82.486763	81.566528	97.453094	82.476257	82.493126	82.522812	82.472855	82.403687	82.539597	99.075287	84.62738	81.774567	81.264786	82.390114	82.15477	99.99736	82.548447
82.494827	82.431992	81.256134	83.288559	83.661522	82.759018	81.241257	100.0	83.427734	83.419006	81.858627	81.47406	82.791153	82.801956	83.383301	81.943939	83.837212	83.056854	81.655151	81.072205	83.410156	83.461899	83.273407	83.223267	83.483757	81.867432	82.685165	82.367409	95.194496	83.327003	82.098816	81.225456	83.488556
83.6922	83.60067	82.543999	88.572571	90.021225	83.779892	82.507095	83.427734	100.0	95.234116	82.475281	82.371078	83.6241	83.719551	88.500534	82.42189	91.614059	83.542648	82.464264	82.33609	96.069771	98.840805	88.615089	89.522034	95.220154	82.527435	84.099937	83.690575	83.439529	88.282928	84.452957	82.532059	95.182854
83.767548	83.668167	82.58493	88.845093	90.207771	83.885139	82.528488	83.419006	95.234116	100.0	82.41581	82.521187	83.813431	83.8741	88.76059	82.6511	91.6642	83.797409	82.617256	82.542145	95.100525	94.961884	88.848351	89.813675	99.998077	82.437943	84.240402	83.668785	83.53244	88.611198	84.424728	82.544777	99.995369
