GCA_001771655.1_ASM177165v1_genomic	GCA_001772385.1_ASM177238v1_genomic	GCA_001771395.1_ASM177139v1_genomic	GCA_001771505.1_ASM177150v1_genomic	GCA_001771455.1_ASM177145v1_genomic	GCA_001771705.1_ASM177170v1_genomic	GCA_001771535.1_ASM177153v1_genomic
100.0	80.970734	80.787682	80.891441	99.631607	81.110901	99.823105
80.970734	100.0	99.921089	99.991837	79.971725	99.352036	80.884293
80.787682	99.921089	100.0	99.901184	79.616364	99.358475	80.753059
80.891441	99.991837	99.901184	100.0	79.955521	99.308441	80.793716
99.631607	79.971725	79.616364	79.955521	100.0	80.323517	99.684875
81.110901	99.352036	99.358475	99.308441	80.323517	100.0	81.458725
99.823105	80.884293	80.753059	80.793716	99.684875	81.458725	100.0
